NCCS,IRS
TAXPER,a_tax_prd
TAXPER,tax_pd
TAXPER,tax_prd
TAXPER,taxprd
OTHCHGS,othrchgsnetassetfnd
Q78A,unrelbusincd
INITFEES,initiationfee
GRRECPUB,grspublicrcpts
CONT,totcntrbs
INVINC,othrinvstinc
SALEOTHG,grsamtsalesastothr
SALEOTHE,basisalesexpnsothr
SALEOTHN,gnsaleofastothr
GRSINCFNDRSNG,grsrevnuefndrsng
DIREXP,direxpns
INVENTG,grsalesminusret
GOODS,costgoodsold
GRPROF,grsprft
OTHINC,othrevnue
TOTREV2,totrevnue
EXPS,totexpns
NETINC,totexcessyr
ASS_EOY,totassetsend
LIAB_EOY,totliabend
FUNDBAL,totnetassetsend
REASON,nonpfrea
